system:index,AOD,date,.geo
MCD19A2_A2019081_h24v05_061_2023125024455_02,291.65699873896597,2019-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019084_h24v05_061_2023125042855_03,242.14627994955862,2019-03-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019084_h24v05_061_2023125042855_04,323.99495586380834,2019-03-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019085_h24v05_061_2023125044707_02,330.3770491803279,2019-03-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019085_h24v05_061_2023125044707_04,270.7049180327869,2019-03-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019087_h24v05_061_2023125051841_01,418.81841109709956,2019-03-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019089_h24v05_061_2023125061854_04,409.94325346784365,2019-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019090_h24v05_061_2023125064615_02,348.5258511979824,2019-03-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019090_h24v05_061_2023125064615_03,232.37704918032784,2019-03-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019091_h24v05_061_2023125071300_03,164.72887767969735,2019-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019091_h24v05_061_2023125071300_04,176.14501891551072,2019-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019092_h24v05_061_2023125073651_04,201.9659520807062,2019-04-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019093_h24v05_061_2023125083426_03,338.7566204287516,2019-04-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019094_h24v05_061_2023125090026_01,475.4450867052023,2019-04-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019095_h24v05_061_2023125092006_03,417.50441361916774,2019-04-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019095_h24v05_061_2023125092006_04,399.49180327868856,2019-04-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019096_h24v05_061_2023125093506_01,305.5296343001261,2019-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019096_h24v05_061_2023125093506_03,354.42749054224464,2019-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019097_h24v05_061_2023125102312_04,367.07566204287514,2019-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019098_h24v05_061_2023125110316_01,219.63177805800757,2019-04-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019098_h24v05_061_2023125110316_03,254.99873896595207,2019-04-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019098_h24v05_061_2023125110316_04,363.487012987013,2019-04-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019099_h24v05_061_2023125112700_02,527.5296343001261,2019-04-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019099_h24v05_061_2023125112700_04,326.093316519546,2019-04-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019100_h24v05_061_2023125114658_03,198.3720050441362,2019-04-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019100_h24v05_061_2023125114658_04,229.20428751576296,2019-04-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019101_h24v05_061_2023125121305_04,452.0,2019-04-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019105_h24v05_061_2023125142916_01,373.05548549810845,2019-04-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019108_h24v05_061_2023125152059_02,543.9285714285714,2019-04-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019109_h24v05_061_2023125161555_04,440.18039215686275,2019-04-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019111_h24v05_061_2023125170915_03,333.53467843631773,2019-04-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019111_h24v05_061_2023125170915_04,332.9785624211853,2019-04-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019112_h24v05_061_2023125172347_01,333.6885245901639,2019-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019112_h24v05_061_2023125172347_03,332.2622950819672,2019-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019113_h24v05_061_2023125182217_02,499.6116015132409,2019-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019115_h24v05_061_2023125191017_02,963.296343001261,2019-04-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019116_h24v05_061_2023125192600_03,537.8965952080706,2019-04-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019116_h24v05_061_2023125192600_04,582.9281210592686,2019-04-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019117_h24v05_061_2023125200044_02,708.564943253468,2019-04-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019118_h24v05_061_2023125203424_03,405.65952080706177,2019-04-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019118_h24v05_061_2023125203424_04,483.69609079445144,2019-04-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019121_h24v05_061_2023125220717_01,226.94325346784362,2019-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019121_h24v05_061_2023125220717_04,269.05926860025215,2019-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019122_h24v05_061_2023125224307_02,457.6864406779661,2019-05-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019123_h24v05_061_2023125231417_03,308.34047919293823,2019-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019123_h24v05_061_2023125231417_04,321.27238335435055,2019-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019124_h24v05_061_2023125235531_02,270.76166456494326,2019-05-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019124_h24v05_061_2023125235531_04,166.1551071878941,2019-05-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019125_h24v05_061_2023126002322_03,247.4577553593947,2019-05-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019125_h24v05_061_2023126002322_04,266.640605296343,2019-05-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019126_h24v05_061_2023126005630_01,223.25373134328356,2019-05-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019126_h24v05_061_2023126005630_03,214.71374527112232,2019-05-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019127_h24v05_061_2023126013130_03,352.71752837326613,2019-05-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019127_h24v05_061_2023126013130_04,360.2912988650693,2019-05-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019128_h24v05_061_2023126021427_01,265.4148802017654,2019-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019128_h24v05_061_2023126021427_03,257.7171381031614,2019-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019129_h24v05_061_2023126025104_02,541.1764705882354,2019-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019130_h24v05_061_2023126031745_01,319.8209331651954,2019-05-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019130_h24v05_061_2023126031745_03,352.11475409836066,2019-05-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019130_h24v05_061_2023126031745_04,530.6469072164947,2019-05-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019131_h24v05_061_2023126035352_02,546.124842370744,2019-05-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019132_h24v05_061_2023126045831_03,432.7112232030266,2019-05-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019132_h24v05_061_2023126045831_04,277.09205548549807,2019-05-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019134_h24v05_061_2023126060039_03,379.08827238335437,2019-05-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019134_h24v05_061_2023126060039_04,389.03783102143757,2019-05-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
